x,y,Country,Continent,Power distance,Individualism,Uncertainty avoidance,Masculinity,Short-term orientation,Indulgence,ax,ay
-3.1670618,-5.7617188,Africa East,Africa,64.0,27.0,52.0,41.0,32.0,40.0,0,0
23.932388,-3.095923,Africa West,Africa,77.0,20.0,54.0,46.0,9.0,78.0,0,0
-10.008158,-9.042105,Arab countries,Asia,80.0,38.0,68.0,53.0,23.0,34.0,0,0
3.1190488,6.4268737,Argentina,South America,49.0,46.0,86.0,56.0,20.0,62.0,0,0
5.280065,61.33973,Australia,Oceania,38.0,90.0,51.0,61.0,21.0,71.0,0,0
-39.163548,28.697872,Austria,Europe,11.0,55.0,70.0,79.0,60.0,63.0,0,0
-21.500597,-38.016678,Bangladesh,Asia,80.0,20.0,60.0,55.0,47.0,20.0,0,0
-10.519574,25.461529,Belgium,Europe,65.0,75.0,94.0,54.0,82.0,57.0,0,0
0.865462,16.903267,Brazil,South America,69.0,38.0,76.0,49.0,44.0,59.0,0,0
-10.685177,-32.481762,Bulgaria,Europe,70.0,30.0,85.0,40.0,69.0,16.0,0,0
8.613399,60.313496,Canada,North America,39.0,80.0,48.0,52.0,36.0,68.0,0,0
9.176865,3.4028308,Chile,South America,63.0,23.0,86.0,28.0,31.0,68.0,0,0
-26.232277,-44.585434,China,Asia,80.0,20.0,30.0,66.0,87.0,24.0,0,0
22.168879,0.90552676,Colombia,South America,67.0,13.0,80.0,64.0,13.0,83.0,0,0
-9.375914,-33.55488,Croatia,Europe,73.0,33.0,80.0,40.0,58.0,33.0,0,0
-24.05194,28.87361,Czech Republic,Europe,57.0,58.0,74.0,57.0,70.0,29.0,0,0
25.790352,-51.983524,Denmark,Europe,18.0,74.0,23.0,16.0,35.0,70.0,0,0
11.77015,2.949172,El Salvador,North America,66.0,19.0,94.0,40.0,20.0,89.0,0,0
58.009506,12.779288,Estonia,Europe,40.0,60.0,60.0,30.0,82.0,16.0,0,0
31.926855,-50.966938,Finland,Europe,33.0,63.0,59.0,26.0,38.0,57.0,0,0
-9.500394,24.785255,France,Europe,68.0,71.0,86.0,43.0,63.0,48.0,0,0
